- User-space buf. size: 100
- syscall return val:   328
- User-space buf. size: 200
- syscall return val:   328
- User-space buf. size: 400
- syscall return val:   328
--- OK ---

#comm,pid,ppid,fcldpid,nsblpid,nvcsw,nivcsw,stime
swapper/0,0,0,1,0,0,1846510,0
-systemd,1,0,417,2,3442,1373,0
--systemd-journal,417,1,0,431,1577,260,4
--systemd-oomd,431,1,0,458,3745,125,4
--vmware-vmblock-,458,1,0,461,1,1,4
--systemd-timesyn,461,1,0,468,142,33,4
--systemd-udevd,468,1,0,474,1296,358,4
--systemd-resolve,474,1,0,1099,1160,47,5
--VGAuthService,1099,1,0,1103,44,35,7
--vmtoolsd,1103,1,0,1501,51109,371,7
--avahi-daemon,1501,1,1567,1502,1579,21,8
---avahi-daemon,1567,1501,0,0,3,0,8
--dbus-daemon,1502,1,0,1506,3275,725,8
--gnome-remote-de,1506,1,0,1509,75,92,8
--polkitd,1509,1,0,1518,637,311,8
--snapd,1518,1,0,1527,474,146,8
--accounts-daemon,1527,1,0,1531,134,83,8
--cron,1531,1,0,1533,96,12,8
--switcheroo-cont,1533,1,0,1548,36,64,8
--systemd-logind,1548,1,0,1549,1821,163,8
--udisksd,1549,1,0,1563,405,124,8
--rsyslogd,1563,1,0,1605,36,51,8
--NetworkManager,1605,1,0,1607,1117,132,8
--wpa_supplicant,1607,1,0,1652,483,11,8
--ModemManager,1652,1,0,1737,213,45,8
--cupsd,1737,1,1745,1743,106,21,9
---dbus,1745,1737,0,0,6,18,9
--unattended-upgr,1743,1,0,1757,112,28,9
--gdm3,1757,1,1765,1773,68,17,10
---gdm-session-wor,1765,1757,1824,0,78,9,10
----gdm-wayland-ses,1824,1765,1859,0,20,18,10
-----dbus-run-sessio,1859,1824,1861,0,3,0,10
------dbus-daemon,1861,1859,0,1866,848,260,10
------gnome-session-b,1866,1859,1906,0,362,229,10
-------gnome-shell,1906,1866,2075,2144,44729,590,10
--------Xwayland,2075,1906,0,2334,318,87,12
--------mutter-x11-fram,2334,1906,0,2335,75,114,13
--------ibus-daemon,2335,1906,2352,0,60,66,13
---------ibus-memconf,2352,2335,0,2438,6,4,13
---------ibus-engine-sim,2438,2335,0,0,13,5,13
-------gsd-sharing,2144,1866,0,2149,48,37,13
-------gsd-wacom,2149,1866,0,2150,211,114,13
-------gsd-color,2150,1866,0,2153,465,75,13
-------gsd-keyboard,2153,1866,0,2159,158,75,13
-------gsd-print-notif,2159,1866,0,2167,67,24,13
-------gsd-rfkill,2167,1866,0,2171,51,12,13
-------gsd-smartcard,2171,1866,0,2174,51,33,13
-------gsd-datetime,2174,1866,0,2177,36,27,13
-------gsd-media-keys,2177,1866,0,2190,238,78,13
-------gsd-screensaver,2190,1866,0,2205,52,27,13
-------gsd-sound,2205,1866,0,2213,57,28,13
-------gsd-a11y-settin,2213,1866,0,2222,34,14,13
-------gsd-housekeepin,2222,1866,0,2228,119,23,13
-------gsd-power,2228,1866,0,0,203,90,13
--systemd,1773,1,1778,1863,183,61,10
---(sd-pam),1778,1773,0,1796,1,0,10
---mpris-proxy,1796,1773,0,1797,33,2,10
---pipewire,1797,1773,0,1802,174,69,10
---pipewire,1802,1773,0,1809,21,16,10
---wireplumber,1809,1773,0,1811,358,130,10
---pipewire-pulse,1811,1773,0,1814,84,60,10
---dbus-daemon,1814,1773,0,1928,141,64,10
---xdg-document-po,1928,1773,1942,1933,31,2,10
----fusermount3,1942,1928,0,0,4,0,11
---xdg-permission-,1933,1773,0,2490,8,3,11
---gnome-keyring-d,2490,1773,0,0,23,0,14
--rtkit-daemon,1863,1,0,2016,70,77,10
--cups-browsed,2016,1,0,2017,229,11,12
--power-profiles-,2017,1,0,2068,99,20,12
--at-spi-bus-laun,2068,1,2074,2077,29,0,12
---dbus-daemon,2074,2068,0,0,61,16,12
--at-spi2-registr,2077,1,0,2078,69,15,12
--colord,2078,1,0,2115,142,15,12
--xdg-permission-,2115,1,0,2127,13,1,13
--gjs,2127,1,0,2128,47,46,13
--upowerd,2128,1,0,2354,132,70,13
--ibus-x11,2354,1,0,2364,141,35,13
--ibus-portal,2364,1,0,2388,60,3,13
--xdg-desktop-por,2388,1,0,2404,151,7,13
--xdg-desktop-por,2404,1,0,2406,98,21,13
--sshd,2406,1,17485,2440,25,0,13
---sshd-session,17485,2406,17521,0,27,2,4176
----sshd-session,17521,17485,17522,0,7027,117,4177
-----sh,17522,17521,17540,0,32,3,4177
------code-7d842fb85a,17540,17522,0,17938,4658,81,4178
------sleep,17938,17522,0,0,1,1,4358
--gjs,2440,1,0,2471,43,28,13
--gsd-printer,2471,1,0,2481,21,2,13
--xdg-desktop-por,2481,1,0,2501,58,5,14
--systemd,2501,1,2502,2756,74,63,15
---(sd-pam),2502,2501,0,2515,1,0,15
---mpris-proxy,2515,2501,0,2516,31,12,16
---pipewire,2516,2501,0,2517,38,58,16
---pipewire,2517,2501,0,2521,8,87,16
---snapd-desktop-i,2521,2501,2869,2522,845,148,16
----snapd-desktop-i,2869,2521,0,0,628,49,18
---wireplumber,2522,2501,0,2526,64,71,16
---pipewire-pulse,2526,2501,0,2528,26,77,16
---dbus-daemon,2528,2501,0,2608,84,44,16
---xdg-document-po,2608,2501,2634,2621,25,2,16
----fusermount3,2634,2608,0,0,1,1,16
---xdg-permission-,2621,2501,0,0,6,1,16
--sh,2756,1,2760,6422,8,0,17
---node,2760,2756,2875,0,59040,5690,17
----node,2875,2760,2907,17069,50524,1375,19
-----bash,2907,2875,0,7332,577,84,20
-----bash,7332,2875,0,13360,607,8,1763
-----bash,13360,2875,18257,0,2806,242,2719
------test_k22tree,18257,13360,0,0,0,0,4489
----node,17069,2760,17249,17573,15997,3462,4090
-----cpptools,17249,17069,0,17386,300,14,4098
-----node,17386,17069,0,0,288,155,4104
----node,17573,2760,17756,17584,15046,4772,4178
-----cpptools,17756,17573,0,18009,220,10,4192
-----node,18009,17573,0,0,96,9,4408
----node,17584,2760,0,0,1456,251,4178
--dconf-service,6422,1,0,15939,15,0,1447
--fwupd,15939,1,0,17925,1116,35,3447
--cpptools-srv,17925,1,0,18040,229,0,4266
--cpptools-srv,18040,1,0,0,78,15,4416
-kthreadd,2,0,3,0,290,1,0
--pool_workqueue_,3,2,0,4,4,0,0
--kworker/R-rcu_g,4,2,0,5,2,0,0
--kworker/R-sync_,5,2,0,6,2,0,0
--kworker/R-kvfre,6,2,0,7,2,0,0
--kworker/R-slub_,7,2,0,8,2,0,0
--kworker/R-netns,8,2,0,11,2,0,0
--kworker/0:0H,11,2,0,13,28376,213,0
--kworker/R-mm_pe,13,2,0,14,2,0,0
--rcu_tasks_kthre,14,2,0,15,2,0,0
--rcu_tasks_rude_,15,2,0,16,2,0,0
--rcu_tasks_trace,16,2,0,17,2,0,0
--ksoftirqd/0,17,2,0,18,20604,63,0
--rcu_preempt,18,2,0,19,985136,64,0
--rcu_exp_par_gp_,19,2,0,20,337,49,0
--rcu_exp_gp_kthr,20,2,0,21,756,68,0
--migration/0,21,2,0,22,1223,0,0
--idle_inject/0,22,2,0,23,3,0,0
--cpuhp/0,23,2,0,24,15,0,0
--cpuhp/1,24,2,0,25,14,1,0
--idle_inject/1,25,2,0,26,3,0,0
--migration/1,26,2,0,27,1221,0,0
--ksoftirqd/1,27,2,0,29,31784,60,0
--kworker/1:0H,29,2,0,30,4,0,0
--cpuhp/2,30,2,0,31,14,1,0
--idle_inject/2,31,2,0,32,3,0,0
--migration/2,32,2,0,33,1240,0,0
--ksoftirqd/2,33,2,0,35,27942,63,0
--kworker/2:0H,35,2,0,36,4,0,0
--cpuhp/3,36,2,0,37,14,1,0
--idle_inject/3,37,2,0,38,3,0,0
--migration/3,38,2,0,39,1241,0,0
--ksoftirqd/3,39,2,0,41,22148,34,0
--kworker/3:0H,41,2,0,42,4,0,0
--cpuhp/4,42,2,0,43,14,0,0
--idle_inject/4,43,2,0,44,3,0,0
--migration/4,44,2,0,45,1240,0,0
--ksoftirqd/4,45,2,0,47,18723,63,0
--kworker/4:0H,47,2,0,48,4,0,0
--cpuhp/5,48,2,0,49,14,1,0
--idle_inject/5,49,2,0,50,3,0,0
--migration/5,50,2,0,51,1252,0,0
--ksoftirqd/5,51,2,0,54,58651,558,0
--kdevtmpfs,54,2,0,55,214,0,0
--kworker/R-inet_,55,2,0,56,2,0,0
--kauditd,56,2,0,57,174,0,0
--khungtaskd,57,2,0,59,38,0,0
--oom_reaper,59,2,0,61,2,0,0
--kworker/R-write,61,2,0,62,2,0,0
--kcompactd0,62,2,0,63,8492,79,0
--ksmd,63,2,0,64,2,0,0
--khugepaged,64,2,0,65,2,0,0
--kworker/R-kinte,65,2,0,66,2,0,0
--kworker/R-kbloc,66,2,0,67,2,0,0
--irq/9-acpi,67,2,0,71,2,1,0
--kworker/R-tpm_d,71,2,0,72,2,0,0
--kworker/R-ata_s,72,2,0,73,2,0,0
--kworker/R-md,73,2,0,74,2,0,0
--kworker/R-md_bi,74,2,0,75,2,0,0
--kworker/R-edac-,75,2,0,76,2,0,0
--kworker/R-devfr,76,2,0,77,2,0,0
--watchdogd,77,2,0,80,2,0,0
--kswapd0,80,2,0,81,1501,1057,1
--ecryptfs-kthrea,81,2,0,82,2,0,1
--kworker/R-kthro,82,2,0,83,2,0,1
--irq/24-pciehp,83,2,0,84,2,1,1
--irq/25-pciehp,84,2,0,85,2,1,1
--irq/26-pciehp,85,2,0,86,2,1,1
--irq/27-pciehp,86,2,0,87,2,0,1
--irq/28-pciehp,87,2,0,88,2,1,1
--irq/29-pciehp,88,2,0,89,2,1,1
--irq/30-pciehp,89,2,0,90,2,1,1
--irq/31-pciehp,90,2,0,91,2,1,1
--irq/32-pciehp,91,2,0,92,2,1,1
--irq/33-pciehp,92,2,0,93,2,0,1
--irq/34-pciehp,93,2,0,94,2,1,1
--irq/35-pciehp,94,2,0,95,2,1,1
--irq/36-pciehp,95,2,0,96,2,1,1
--irq/37-pciehp,96,2,0,97,2,0,1
--irq/38-pciehp,97,2,0,98,2,1,1
--irq/39-pciehp,98,2,0,99,2,1,1
--irq/40-pciehp,99,2,0,100,2,1,1
--irq/41-pciehp,100,2,0,101,2,1,1
--irq/42-pciehp,101,2,0,102,2,1,1
--irq/43-pciehp,102,2,0,103,2,0,1
--irq/44-pciehp,103,2,0,104,2,1,1
--irq/45-pciehp,104,2,0,105,2,0,1
--irq/46-pciehp,105,2,0,106,2,1,1
--irq/47-pciehp,106,2,0,107,2,1,1
--irq/48-pciehp,107,2,0,108,2,1,1
--irq/49-pciehp,108,2,0,109,2,1,1
--irq/50-pciehp,109,2,0,110,2,1,1
--irq/51-pciehp,110,2,0,111,2,0,1
--irq/52-pciehp,111,2,0,112,2,1,1
--irq/53-pciehp,112,2,0,113,2,1,1
--irq/54-pciehp,113,2,0,114,2,1,1
--irq/55-pciehp,114,2,0,115,2,1,1
--kworker/R-acpi_,115,2,0,116,2,0,1
--scsi_eh_0,116,2,0,117,4,0,1
--kworker/R-scsi_,117,2,0,118,2,0,1
--scsi_eh_1,118,2,0,119,4,0,1
--kworker/R-scsi_,119,2,0,122,2,0,1
--kworker/R-mld,122,2,0,123,2,0,1
--kworker/2:1H,123,2,0,124,46066,390,1
--kworker/R-ipv6_,124,2,0,131,2,0,1
--kworker/R-kstrp,131,2,0,132,2,0,1
--kworker/5:1,132,2,0,134,286,28,1
--kworker/u513:0,134,2,0,147,5,0,1
--kworker/R-charg,147,2,0,148,2,0,1
--kworker/2:2,148,2,0,174,10720,46,1
--kworker/1:1H,174,2,0,204,41862,335,1
--kworker/3:1H,204,2,0,206,46144,398,1
--kworker/4:1H,206,2,0,208,40549,325,1
--kworker/5:2,208,2,0,209,10341,27,1
--kworker/R-mpt_p,209,2,0,210,2,0,1
--kworker/R-mpt/0,210,2,0,226,2,0,1
--scsi_eh_2,226,2,0,227,2,0,1
--kworker/R-scsi_,227,2,0,228,2,0,1
--scsi_eh_3,228,2,0,229,34,1,1
--kworker/R-scsi_,229,2,0,230,2,0,1
--scsi_eh_4,230,2,0,231,30,0,1
--kworker/R-scsi_,231,2,0,232,2,0,1
--scsi_eh_5,232,2,0,233,25,0,1
--kworker/R-scsi_,233,2,0,234,2,0,1
--scsi_eh_6,234,2,0,235,25,0,1
--kworker/R-scsi_,235,2,0,236,2,0,1
--scsi_eh_7,236,2,0,237,25,0,1
--kworker/R-scsi_,237,2,0,238,2,0,1
--scsi_eh_8,238,2,0,239,25,0,1
--kworker/R-scsi_,239,2,0,240,2,0,1
--scsi_eh_9,240,2,0,241,25,0,1
--kworker/R-scsi_,241,2,0,242,2,0,1
--scsi_eh_10,242,2,0,243,25,0,1
--kworker/R-scsi_,243,2,0,244,2,0,1
--scsi_eh_11,244,2,0,245,25,0,1
--kworker/R-scsi_,245,2,0,246,2,0,1
--scsi_eh_12,246,2,0,247,25,0,1
--kworker/R-scsi_,247,2,0,248,2,0,1
--scsi_eh_13,248,2,0,249,25,0,1
--kworker/R-scsi_,249,2,0,250,2,0,1
--scsi_eh_14,250,2,0,251,26,1,1
--kworker/R-scsi_,251,2,0,252,2,0,1
--scsi_eh_15,252,2,0,253,25,0,1
--kworker/R-scsi_,253,2,0,254,2,0,1
--scsi_eh_16,254,2,0,255,25,0,1
--kworker/R-scsi_,255,2,0,256,2,0,1
--scsi_eh_17,256,2,0,257,25,0,1
--kworker/R-scsi_,257,2,0,258,2,0,1
--scsi_eh_18,258,2,0,259,25,0,1
--kworker/R-scsi_,259,2,0,260,2,0,1
--scsi_eh_19,260,2,0,261,25,0,1
--kworker/R-scsi_,261,2,0,262,2,0,1
--scsi_eh_20,262,2,0,263,25,0,1
--kworker/R-scsi_,263,2,0,264,2,0,1
--scsi_eh_21,264,2,0,265,25,0,1
--kworker/R-scsi_,265,2,0,266,2,0,1
--scsi_eh_22,266,2,0,267,25,0,1
--kworker/R-scsi_,267,2,0,268,2,0,1
--scsi_eh_23,268,2,0,269,25,0,1
--kworker/R-scsi_,269,2,0,270,2,0,1
--scsi_eh_24,270,2,0,271,25,0,1
--kworker/R-scsi_,271,2,0,272,2,0,1
--scsi_eh_25,272,2,0,273,25,0,1
--kworker/R-scsi_,273,2,0,274,2,0,1
--scsi_eh_26,274,2,0,275,25,0,1
--kworker/R-scsi_,275,2,0,276,2,0,1
--scsi_eh_27,276,2,0,277,25,0,1
--kworker/R-scsi_,277,2,0,278,2,0,1
--scsi_eh_28,278,2,0,279,25,0,1
--kworker/R-scsi_,279,2,0,280,2,0,1
--scsi_eh_29,280,2,0,281,25,0,1
--kworker/R-scsi_,281,2,0,282,2,0,1
--scsi_eh_30,282,2,0,283,25,0,1
--kworker/R-scsi_,283,2,0,284,2,0,1
--scsi_eh_31,284,2,0,285,25,0,1
--kworker/R-scsi_,285,2,0,286,2,0,1
--scsi_eh_32,286,2,0,287,25,0,1
--kworker/R-scsi_,287,2,0,358,2,0,1
--jbd2/sda2-8,358,2,0,359,4745,5,3
--kworker/R-ext4-,359,2,0,407,2,0,3
--irq/57-vmw_vmci,407,2,0,408,712,1,4
--irq/58-vmw_vmci,408,2,0,409,2,1,4
--irq/59-vmw_vmci,409,2,0,466,1396,1,4
--irq/16-vmwgfx,466,2,0,467,5,1,4
--kworker/R-ttm,467,2,0,496,2,0,4
--psimon,496,2,0,1470,2,0,5
--kworker/R-crypt,1470,2,0,1641,2,0,7
--kworker/3:3,1641,2,0,1777,275,8,8
--psimon,1777,2,0,3425,2,0,10
--kworker/u513:2,3425,2,0,4212,2,0,312
--kworker/5:0H,4212,2,0,5965,80991,852,704
--kworker/2:1,5965,2,0,6446,3,0,1279
--kworker/u512:2,6446,2,0,8060,63204,4696,1464
--kworker/3:2,8060,2,0,9187,5029,20,1997
--kworker/4:0,9187,2,0,9252,1913,2,2594
--kworker/1:2,9252,2,0,15098,5028,18,2681
--kworker/1:0,15098,2,0,16349,6,0,3197
--kworker/u512:1,16349,2,0,16398,14372,514,3754
--kworker/0:0,16398,2,0,16400,1903,5,3792
--kworker/0:3,16400,2,0,16837,2,0,3792
--kworker/4:1,16837,2,0,16957,2,0,4061
--kworker/u512:0,16957,2,0,17110,5222,49,4087
--kworker/5:1H,17110,2,0,17115,3,0,4091
--kworker/u512:4,17115,2,0,17116,6,0,4092
--kworker/0:2H,17116,2,0,17487,2,0,4092
--kworker/5:0,17487,2,0,17937,721,8,4176
--kworker/1:1,17937,2,0,17945,5,0,4270
--kworker/1:3,17945,2,0,0,2,0,4397
